,state,vmt_arterial_rural,date,vmt_arterial_urban,vmt_all
92,Colorado,957.0,2003-01-01 00:00:00,1738.0,3406.0
93,Hawaii,122.0,2003-01-01 00:00:00,294.0,622.0
94,Idaho,351.0,2003-01-01 00:00:00,311.0,1042.0
95,Montana,392.0,2003-01-01 00:00:00,130.0,769.0
96,Nevada,290.0,2003-01-01 00:00:00,791.0,1410.0
97,New Mexico,764.0,2003-01-01 00:00:00,527.0,1965.0
98,Oregon,829.0,2003-01-01 00:00:00,1016.0,2561.0
99,Utah,485.0,2003-01-01 00:00:00,872.0,1878.0
100,Washington,805.0,2003-01-01 00:00:00,2235.0,4037.0
101,Wyoming,444.0,2003-01-01 00:00:00,128.0,868.0
102,Connecticut,142.0,2003-12-01 00:00:00,1771.0,2425.0
103,Maine,478.0,2003-12-01 00:00:00,231.0,1139.0
104,Massachusetts,474.0,2003-12-01 00:00:00,2910.0,4351.0
105,New Hampshire,367.0,2003-12-01 00:00:00,344.0,992.0
106,New Jersey,704.0,2003-12-01 00:00:00,3751.0,5859.0
107,New York,1552.0,2003-12-01 00:00:00,6040.0,10752.0
108,Pennsylvania,2288.0,2003-12-01 00:00:00,3654.0,9202.0
109,Rhode Island,56.0,2003-12-01 00:00:00,486.0,631.0
110,Vermont,242.0,2003-12-01 00:00:00,100.0,580.0
111,Delaware,149.0,2003-12-01 00:00:00,298.0,658.0
112,District of Columbia,0.0,2003-12-01 00:00:00,232.0,309.0
113,Florida,2918.0,2003-12-01 00:00:00,7301.0,15747.0
114,Georgia,2374.0,2003-12-01 00:00:00,3784.0,9167.0
115,Maryland,915.0,2003-12-01 00:00:00,2537.0,4306.0
116,North Carolina,2147.0,2003-12-01 00:00:00,2430.0,7505.0
117,South Carolina,1683.0,2003-12-01 00:00:00,1077.0,3844.0
118,Virginia,1960.0,2003-12-01 00:00:00,2938.0,6376.0
119,West Virginia,729.0,2003-12-01 00:00:00,356.0,1559.0
120,Illinois,1602.0,2003-12-01 00:00:00,4614.0,8349.0
121,Indiana,1590.0,2003-12-01 00:00:00,2394.0,5927.0
122,Iowa,1069.0,2003-12-01 00:00:00,691.0,2414.0
123,Kansas,795.0,2003-12-01 00:00:00,865.0,2201.0
124,Michigan,1862.0,2003-12-01 00:00:00,4287.0,8280.0
125,Minnesota,1597.0,2003-12-01 00:00:00,1844.0,4635.0
126,Missouri,1691.0,2003-12-01 00:00:00,2401.0,5933.0
127,Nebraska,672.0,2003-12-01 00:00:00,456.0,1474.0
128,North Dakota,266.0,2003-12-01 00:00:00,110.0,550.0
129,Ohio,1958.0,2003-12-01 00:00:00,3965.0,8974.0
130,South Dakota,352.0,2003-12-01 00:00:00,128.0,625.0
131,Wisconsin,1699.0,2003-12-01 00:00:00,1573.0,4660.0
132,Alabama,1316.0,2003-12-01 00:00:00,1556.0,4644.0
133,Arkansas,1043.0,2003-12-01 00:00:00,797.0,2614.0
134,Kentucky,1209.0,2003-12-01 00:00:00,1338.0,3707.0
135,Louisiana,1028.0,2003-12-01 00:00:00,1437.0,3532.0
136,Mississippi,1181.0,2003-12-01 00:00:00,673.0,3088.0
