,state,rural_interstate,urban_interstate,freeway_expressway,other_arterial,minor_arterial,collector_arterial,local,unknown,total,year
1029,South Dakota,14.0,4.0,6.0,30.0,25.0,33.0,17.0,0.0,129.0,2017
1030,Tennessee,62.0,92.0,11.0,297.0,230.0,207.0,124.0,1.0,1024.0,2017
1031,Texas,210.0,438.0,293.0,1107.0,731.0,666.0,274.0,13.0,3732.0,2017
1032,USA,1991.0,2762.0,1595.0,11194.0,7821.0,6775.0,5209.0,126.0,37473.0,2017
1033,Utah,23.0,22.0,1.0,107.0,47.0,43.0,27.0,3.0,273.0,2017
1034,Vermont,8.0,1.0,3.0,11.0,18.0,16.0,12.0,0.0,69.0,2017
1035,Virginia,52.0,64.0,17.0,201.0,218.0,195.0,79.0,13.0,839.0,2017
1036,Washington,29.0,54.0,8.0,175.0,109.0,127.0,49.0,12.0,563.0,2017
1037,West Virginia,12.0,18.0,2.0,95.0,55.0,90.0,29.0,3.0,304.0,2017
1038,Wisconsin,24.0,20.0,4.0,188.0,133.0,146.0,96.0,2.0,613.0,2017
1039,Wyoming,24.0,7.0,0.0,41.0,13.0,14.0,24.0,0.0,123.0,2017
1040,Alabama,61.0,55.0,3.0,246.0,236.0,227.0,125.0,0.0,953.0,2018
1041,Alaska,19.0,10.0,0.0,20.0,12.0,17.0,2.0,0.0,80.0,2018
1042,Arizona,89.0,69.0,47.0,298.0,266.0,131.0,90.0,21.0,1011.0,2018
1043,Arkansas,30.0,48.0,1.0,191.0,82.0,75.0,93.0,0.0,520.0,2018
1044,California,135.0,422.0,579.0,1070.0,681.0,562.0,347.0,2.0,3798.0,2018
1045,Colorado,49.0,55.0,24.0,239.0,129.0,77.0,59.0,0.0,632.0,2018
1046,Connecticut,0.0,51.0,32.0,64.0,83.0,30.0,30.0,3.0,293.0,2018
1047,Delaware,0.0,8.0,13.0,30.0,15.0,30.0,15.0,0.0,111.0,2018
1048,District of Columbia,0.0,1.0,1.0,0.0,1.0,1.0,27.0,0.0,31.0,2018
1049,Florida,143.0,165.0,121.0,1223.0,663.0,464.0,356.0,0.0,3135.0,2018
1050,Georgia,38.0,167.0,17.0,369.0,426.0,295.0,193.0,0.0,1505.0,2018
1051,Hawaii,0.0,9.0,0.0,74.0,31.0,0.0,3.0,0.0,117.0,2018
1052,Idaho,29.0,14.0,0.0,84.0,38.0,35.0,34.0,0.0,234.0,2018
1053,Illinois,63.0,96.0,2.0,304.0,277.0,184.0,109.0,0.0,1035.0,2018
1054,Indiana,54.0,38.0,11.0,237.0,190.0,221.0,108.0,1.0,860.0,2018
1055,Iowa,31.0,10.0,0.0,104.0,56.0,69.0,49.0,0.0,319.0,2018
1056,Kansas,40.0,23.0,12.0,128.0,56.0,72.0,71.0,3.0,405.0,2018
1057,Kentucky,49.0,29.0,11.0,181.0,154.0,200.0,97.0,3.0,724.0,2018
1058,Louisiana,29.0,85.0,9.0,194.0,163.0,169.0,122.0,0.0,771.0,2018
1059,Maine,7.0,3.0,1.0,27.0,20.0,53.0,25.0,0.0,136.0,2018
1060,Maryland,2.0,70.0,20.0,173.0,109.0,70.0,60.0,8.0,512.0,2018
1061,Massachusetts,2.0,55.0,7.0,105.0,101.0,41.0,43.0,1.0,355.0,2018
1062,Michigan,19.0,79.0,38.0,274.0,245.0,206.0,115.0,1.0,977.0,2018
1063,Minnesota,10.0,21.0,8.0,79.0,130.0,87.0,43.0,3.0,381.0,2018
1064,Mississippi,41.0,47.0,0.0,193.0,135.0,168.0,79.0,0.0,663.0,2018
1065,Missouri,52.0,83.0,64.0,207.0,193.0,209.0,113.0,0.0,921.0,2018
1066,Montana,26.0,1.0,1.0,58.0,31.0,30.0,34.0,0.0,181.0,2018
1067,Nebraska,27.0,4.0,11.0,61.0,61.0,33.0,33.0,0.0,230.0,2018
1068,Nevada,20.0,22.0,7.0,124.0,95.0,23.0,35.0,3.0,329.0,2018
1069,New Hampshire,8.0,11.0,0.0,47.0,22.0,18.0,41.0,0.0,147.0,2018
1070,New Jersey,3.0,60.0,54.0,216.0,105.0,45.0,78.0,2.0,563.0,2018
1071,New Mexico,42.0,25.0,1.0,155.0,59.0,63.0,45.0,2.0,392.0,2018
1072,New York,37.0,24.0,38.0,306.0,112.0,40.0,407.0,0.0,964.0,2018
1073,North Carolina,34.0,100.0,66.0,290.0,311.0,340.0,290.0,5.0,1436.0,2018
1074,North Dakota,14.0,0.0,0.0,47.0,14.0,21.0,9.0,0.0,105.0,2018
1075,Ohio,28.0,84.0,45.0,204.0,220.0,311.0,159.0,17.0,1068.0,2018
1076,Oklahoma,48.0,38.0,9.0,153.0,147.0,179.0,80.0,1.0,655.0,2018
1077,Oregon,18.0,15.0,0.0,205.0,138.0,103.0,23.0,0.0,502.0,2018
1078,Pennsylvania,45.0,66.0,38.0,343.0,296.0,187.0,210.0,5.0,1190.0,2018
1079,Rhode Island,1.0,11.0,6.0,20.0,5.0,0.0,15.0,1.0,59.0,2018
1080,South Carolina,88.0,53.0,14.0,327.0,426.0,45.0,83.0,0.0,1036.0,2018
1081,South Dakota,13.0,2.0,8.0,44.0,24.0,24.0,15.0,0.0,130.0,2018
1082,Tennessee,49.0,81.0,12.0,295.0,276.0,196.0,131.0,0.0,1040.0,2018
1083,Texas,202.0,393.0,205.0,1105.0,720.0,783.0,235.0,5.0,3648.0,2018
1084,USA,1881.0,2893.0,1563.0,10958.0,8111.0,6683.0,4639.0,107.0,36835.0,2018
1085,Utah,11.0,34.0,0.0,128.0,32.0,28.0,25.0,2.0,260.0,2018
1086,Vermont,10.0,0.0,0.0,10.0,20.0,18.0,9.0,1.0,68.0,2018
1087,Virginia,50.0,63.0,19.0,200.0,207.0,188.0,86.0,7.0,820.0,2018
1088,Washington,31.0,47.0,0.0,198.0,93.0,98.0,66.0,6.0,539.0,2018
