,state,rural_interstate,urban_interstate,freeway_expressway,other_arterial,minor_arterial,collector_arterial,local,unknown,total,year
1089,West Virginia,23.0,22.0,0.0,79.0,64.0,76.0,30.0,0.0,294.0,2018
1090,Wisconsin,35.0,23.0,8.0,178.0,132.0,127.0,83.0,3.0,589.0,2018
1091,Wyoming,26.0,1.0,0.0,51.0,9.0,14.0,9.0,1.0,111.0,2018
1092,Alabama,79.0,53.0,2.0,279.0,193.0,184.0,140.0,0.0,930.0,2019
1093,Alaska,10.0,5.0,0.0,28.0,9.0,12.0,2.0,1.0,67.0,2019
1094,Arizona,82.0,49.0,46.0,349.0,185.0,159.0,48.0,61.0,979.0,2019
1095,Arkansas,45.0,30.0,4.0,207.0,77.0,49.0,98.0,1.0,511.0,2019
1096,California,158.0,350.0,413.0,1165.0,808.0,580.0,243.0,2.0,3719.0,2019
1097,Colorado,35.0,47.0,19.0,237.0,117.0,70.0,69.0,3.0,597.0,2019
1098,Connecticut,1.0,40.0,20.0,42.0,65.0,52.0,26.0,3.0,249.0,2019
1099,Delaware,0.0,10.0,5.0,42.0,21.0,38.0,16.0,0.0,132.0,2019
1100,District of Columbia,0.0,2.0,0.0,8.0,12.0,0.0,1.0,0.0,23.0,2019
1101,Florida,123.0,187.0,99.0,1314.0,708.0,400.0,352.0,2.0,3185.0,2019
1102,Georgia,51.0,188.0,12.0,399.0,436.0,232.0,174.0,0.0,1492.0,2019
1103,Hawaii,0.0,10.0,0.0,57.0,40.0,0.0,0.0,1.0,108.0,2019
1104,Idaho,27.0,9.0,2.0,78.0,37.0,42.0,28.0,1.0,224.0,2019
1105,Illinois,44.0,105.0,8.0,287.0,245.0,199.0,115.0,6.0,1009.0,2019
1106,Indiana,64.0,39.0,15.0,217.0,160.0,203.0,109.0,3.0,810.0,2019
1107,Iowa,27.0,13.0,0.0,96.0,51.0,81.0,68.0,0.0,336.0,2019
1108,Kansas,23.0,32.0,38.0,79.0,93.0,93.0,51.0,1.0,410.0,2019
1109,Kentucky,51.0,33.0,14.0,166.0,158.0,214.0,96.0,0.0,732.0,2019
1110,Louisiana,51.0,41.0,23.0,165.0,151.0,158.0,138.0,0.0,727.0,2019
1111,Maine,11.0,3.0,0.0,28.0,30.0,52.0,33.0,0.0,157.0,2019
1112,Maryland,2.0,67.0,25.0,170.0,120.0,77.0,66.0,8.0,535.0,2019
1113,Massachusetts,2.0,60.0,12.0,97.0,92.0,36.0,37.0,0.0,336.0,2019
1114,Michigan,28.0,62.0,40.0,263.0,253.0,207.0,125.0,8.0,986.0,2019
1115,Minnesota,14.0,16.0,7.0,84.0,126.0,92.0,24.0,1.0,364.0,2019
1116,Mississippi,57.0,39.0,0.0,149.0,127.0,193.0,77.0,0.0,642.0,2019
1117,Missouri,54.0,94.0,72.0,180.0,185.0,183.0,113.0,0.0,881.0,2019
1118,Montana,24.0,1.0,0.0,66.0,28.0,32.0,33.0,0.0,184.0,2019
1119,Nebraska,29.0,6.0,13.0,94.0,52.0,33.0,21.0,0.0,248.0,2019
1120,Nevada,27.0,19.0,7.0,119.0,90.0,9.0,31.0,2.0,304.0,2019
1121,New Hampshire,4.0,1.0,3.0,40.0,17.0,14.0,21.0,1.0,101.0,2019
1122,New Jersey,7.0,46.0,49.0,193.0,145.0,45.0,73.0,0.0,558.0,2019
1123,New Mexico,73.0,18.0,3.0,173.0,57.0,63.0,38.0,0.0,425.0,2019
1124,New York,11.0,44.0,86.0,284.0,209.0,154.0,145.0,1.0,934.0,2019
1125,North Carolina,62.0,59.0,104.0,277.0,310.0,322.0,320.0,3.0,1457.0,2019
1126,North Dakota,4.0,1.0,0.0,32.0,18.0,26.0,18.0,1.0,100.0,2019
1127,Ohio,42.0,89.0,42.0,218.0,245.0,340.0,171.0,6.0,1153.0,2019
1128,Oklahoma,45.0,33.0,9.0,184.0,128.0,164.0,76.0,1.0,640.0,2019
1129,Oregon,14.0,22.0,4.0,201.0,103.0,115.0,34.0,0.0,493.0,2019
1130,Pennsylvania,56.0,43.0,35.0,296.0,236.0,191.0,196.0,6.0,1059.0,2019
1131,Rhode Island,0.0,9.0,4.0,20.0,6.0,1.0,17.0,0.0,57.0,2019
1132,South Carolina,85.0,36.0,18.0,341.0,407.0,46.0,73.0,0.0,1006.0,2019
1133,South Dakota,8.0,4.0,9.0,20.0,20.0,29.0,12.0,0.0,102.0,2019
1134,Tennessee,63.0,108.0,11.0,327.0,276.0,230.0,120.0,1.0,1136.0,2019
1135,Texas,173.0,418.0,204.0,1130.0,737.0,710.0,240.0,7.0,3619.0,2019
1136,USA,1963.0,2705.0,1515.0,10982.0,8095.0,6666.0,4251.0,178.0,36355.0,2019
1137,Utah,31.0,23.0,0.0,116.0,22.0,24.0,30.0,2.0,248.0,2019
1138,Vermont,4.0,0.0,0.0,6.0,11.0,19.0,7.0,0.0,47.0,2019
1139,Virginia,59.0,61.0,22.0,198.0,206.0,174.0,89.0,22.0,831.0,2019
1140,Washington,21.0,40.0,6.0,163.0,74.0,98.0,128.0,8.0,538.0,2019
1141,West Virginia,15.0,12.0,0.0,80.0,50.0,72.0,25.0,6.0,260.0,2019
1142,Wisconsin,25.0,25.0,10.0,169.0,132.0,136.0,64.0,6.0,567.0,2019
1143,Wyoming,42.0,3.0,0.0,49.0,17.0,13.0,20.0,3.0,147.0,2019
1144,Alabama,44.0,76.0,5.0,263.0,227.0,243.0,75.0,1.0,934.0,2020
1145,Alaska,16.0,8.0,0.0,12.0,8.0,11.0,9.0,0.0,64.0,2020
1146,Arizona,80.0,48.0,42.0,328.0,254.0,169.0,22.0,111.0,1054.0,2020
1147,Arkansas,54.0,33.0,9.0,36.0,42.0,13.0,134.0,317.0,638.0,2020
1148,California,140.0,399.0,401.0,1194.0,872.0,574.0,267.0,0.0,3847.0,2020
1149,Colorado,27.0,60.0,29.0,259.0,119.0,81.0,46.0,1.0,622.0,2020
1150,Connecticut,5.0,43.0,34.0,59.0,98.0,33.0,22.0,1.0,295.0,2020
1151,Delaware,1.0,12.0,8.0,40.0,14.0,34.0,7.0,0.0,116.0,2020
1152,District of Columbia,0.0,3.0,2.0,12.0,12.0,3.0,4.0,0.0,36.0,2020
1153,Florida,112.0,231.0,110.0,1245.0,594.0,376.0,339.0,324.0,3331.0,2020
1154,Georgia,53.0,162.0,55.0,421.0,433.0,306.0,232.0,2.0,1664.0,2020
1155,Hawaii,0.0,9.0,1.0,44.0,31.0,0.0,0.0,0.0,85.0,2020
1156,Idaho,21.0,5.0,8.0,71.0,45.0,42.0,22.0,0.0,214.0,2020
1157,Illinois,50.0,126.0,2.0,326.0,272.0,227.0,162.0,29.0,1194.0,2020
1158,Indiana,57.0,44.0,9.0,270.0,191.0,195.0,131.0,0.0,897.0,2020
1159,Iowa,23.0,14.0,0.0,108.0,56.0,85.0,51.0,0.0,337.0,2020
1160,Kansas,24.0,23.0,24.0,89.0,100.0,97.0,69.0,0.0,426.0,2020
1161,Kentucky,54.0,43.0,11.0,185.0,186.0,194.0,104.0,3.0,780.0,2020
1162,Louisiana,41.0,72.0,12.0,202.0,171.0,155.0,172.0,3.0,828.0,2020
1163,Maine,8.0,4.0,0.0,25.0,32.0,66.0,28.0,1.0,164.0,2020
1164,Maryland,4.0,54.0,30.0,206.0,136.0,94.0,41.0,2.0,567.0,2020
1165,Massachusetts,3.0,57.0,14.0,107.0,97.0,36.0,29.0,0.0,343.0,2020
1166,Michigan,27.0,81.0,44.0,291.0,261.0,198.0,179.0,3.0,1084.0,2020
1167,Minnesota,14.0,21.0,11.0,82.0,115.0,106.0,43.0,2.0,394.0,2020
1168,Mississippi,57.0,36.0,6.0,216.0,162.0,239.0,36.0,0.0,752.0,2020
1169,Missouri,36.0,97.0,71.0,233.0,218.0,202.0,130.0,0.0,987.0,2020
1170,Montana,36.0,3.0,0.0,65.0,27.0,44.0,37.0,1.0,213.0,2020
1171,Nebraska,23.0,9.0,12.0,64.0,61.0,32.0,32.0,0.0,233.0,2020
1172,Nevada,21.0,28.0,3.0,126.0,50.0,3.0,86.0,0.0,317.0,2020
1173,New Hampshire,0.0,1.0,3.0,27.0,31.0,28.0,12.0,2.0,104.0,2020
1174,New Jersey,6.0,57.0,78.0,206.0,126.0,66.0,41.0,4.0,584.0,2020
1175,New Mexico,56.0,37.0,0.0,136.0,66.0,56.0,44.0,3.0,398.0,2020
1176,New York,14.0,79.0,82.0,320.0,153.0,113.0,285.0,0.0,1046.0,2020
1177,North Carolina,39.0,115.0,54.0,294.0,293.0,415.0,321.0,7.0,1538.0,2020
1178,North Dakota,10.0,1.0,0.0,29.0,17.0,25.0,18.0,0.0,100.0,2020
1179,Ohio,31.0,123.0,46.0,236.0,265.0,325.0,173.0,31.0,1230.0,2020
1180,Oklahoma,48.0,62.0,3.0,170.0,107.0,162.0,100.0,0.0,652.0,2020
1181,Oregon,13.0,25.0,0.0,211.0,100.0,112.0,47.0,0.0,508.0,2020
1182,Pennsylvania,56.0,60.0,48.0,315.0,233.0,188.0,224.0,5.0,1129.0,2020
1183,Rhode Island,4.0,10.0,5.0,22.0,14.0,7.0,5.0,0.0,67.0,2020
1184,South Carolina,83.0,34.0,10.0,396.0,422.0,51.0,68.0,0.0,1064.0,2020
1185,South Dakota,15.0,5.0,4.0,42.0,38.0,19.0,18.0,0.0,141.0,2020
1186,Tennessee,75.0,125.0,15.0,358.0,291.0,227.0,125.0,1.0,1217.0,2020
1187,Texas,169.0,370.0,199.0,1177.0,820.0,811.0,319.0,9.0,3874.0,2020
1188,USA,1821.0,3078.0,1578.0,11256.0,8370.0,7085.0,4753.0,883.0,38824.0,2020
1189,Utah,28.0,19.0,3.0,105.0,42.0,51.0,28.0,0.0,276.0,2020
1190,Vermont,4.0,1.0,0.0,15.0,16.0,14.0,12.0,0.0,62.0,2020
1191,Virginia,65.0,73.0,14.0,239.0,196.0,179.0,83.0,1.0,850.0,2020
1192,Washington,17.0,42.0,50.0,95.0,61.0,118.0,170.0,7.0,560.0,2020
1193,West Virginia,10.0,17.0,0.0,61.0,53.0,82.0,37.0,7.0,267.0,2020
1194,Wisconsin,24.0,16.0,11.0,178.0,133.0,141.0,107.0,4.0,614.0,2020
1195,Wyoming,23.0,5.0,0.0,45.0,9.0,37.0,7.0,1.0,127.0,2020
